province,district,total_population,housing,landfill_count,area_km2,population_density,housing_density,factory_count,avg_workers_per_factory,restaurants_count
กรุงเทพมหานคร,คลองสาน,63357,42956,0,6.05,10472.23,7100.17,52,57.07692307692308,742
กรุงเทพมหานคร,คลองสามวา,214311,93955,0,110.69,1936.14,848.81,45,49.17777777777778,490
กรุงเทพมหานคร,คลองเตย,89013,83803,0,12.99,6852.42,6451.35,53,45.9622641509434,1131
กรุงเทพมหานคร,คันนายาว,94194,48118,0,25.98,3625.64,1852.12,66,70.27272727272727,424
กรุงเทพมหานคร,จตุจักร,154500,140621,1,32.91,4694.62,4272.9,77,55.85714285714285,1769
กรุงเทพมหานคร,จอมทอง,139427,74595,0,26.27,5307.46,2839.55,321,31.98442367601246,357
กรุงเทพมหานคร,ดอนเมือง,166047,83308,0,36.8,4512.15,2263.8,26,182.80769230769232,514
กรุงเทพมหานคร,ดินแดง,110780,65046,0,8.35,13267.07,7789.94,28,36.642857142857146,521
กรุงเทพมหานคร,ดุสิต,74584,32869,0,10.67,6990.07,3080.51,12,60.583333333333336,901
กรุงเทพมหานคร,ตลิ่งชัน,100887,45173,0,29.48,3422.22,1532.33,27,52.37037037037037,684
กรุงเทพมหานคร,ทวีวัฒนา,80349,37042,0,50.22,1599.94,737.59,13,47.0,301
กรุงเทพมหานคร,ทุ่งครุ,124064,57688,0,30.74,4035.91,1876.64,132,50.03787878787879,266
กรุงเทพมหานคร,ธนบุรี,97169,65530,0,8.55,11364.8,7664.33,58,49.06896551724138,484
กรุงเทพมหานคร,บางกอกน้อย,96745,55591,0,11.94,8102.6,4655.86,30,36.03333333333333,1103
กรุงเทพมหานคร,บางกอกใหญ่,59797,32954,0,6.18,9675.89,5332.36,57,35.68421052631579,205
กรุงเทพมหานคร,บางกะปิ,141412,117821,0,28.52,4958.35,4131.17,73,77.5068493150685,607
กรุงเทพมหานคร,บางขุนเทียน,185595,95111,0,120.69,1537.78,788.06,780,53.815384615384616,682
กรุงเทพมหานคร,บางคอแหลม,76224,40867,0,10.92,6980.22,3742.4,126,77.2936507936508,326
กรุงเทพมหานคร,บางซื่อ,117506,78559,0,11.55,10173.68,6801.65,74,30.60810810810811,564
กรุงเทพมหานคร,บางนา,85001,78445,0,18.79,4523.74,4174.83,115,97.83478260869563,405
กรุงเทพมหานคร,บางบอน,99168,53919,0,34.75,2853.76,1551.63,549,42.32058287795993,346
กรุงเทพมหานคร,บางพลัด,86571,60745,0,11.36,7620.69,5347.27,38,41.39473684210526,343
กรุงเทพมหานคร,บางรัก,41701,36025,0,5.54,7527.26,6502.71,29,86.44827586206897,1148
กรุงเทพมหานคร,บางเขน,184231,119489,0,42.12,4373.96,2836.87,60,36.5,581
กรุงเทพมหานคร,บางแค,192481,97890,0,44.46,4329.31,2201.75,257,55.66147859922179,474
กรุงเทพมหานคร,บึงกุ่ม,136108,77441,0,24.31,5598.85,3185.56,71,48.436619718309856,303
กรุงเทพมหานคร,ปทุมวัน,39399,32452,0,8.37,4707.17,3877.18,18,26.72222222222222,568
กรุงเทพมหานคร,ประเวศ,184355,97910,3,52.49,3512.19,1865.31,262,55.85496183206107,646
กรุงเทพมหานคร,ป้อมปราบศัตรูพ่าย,36905,19623,0,1.93,19121.76,10167.36,13,29.846153846153847,589
กรุงเทพมหานคร,พญาไท,63025,46536,0,9.6,6565.1,4847.5,21,40.095238095238095,488
กรุงเทพมหานคร,พระนคร,39345,19016,0,5.54,7101.99,3432.49,20,47.7,1136
กรุงเทพมหานคร,พระโขนง,85070,65282,0,13.99,6080.77,4666.33,65,108.6,236
กรุงเทพมหานคร,ภาษีเจริญ,121716,69711,0,17.83,6826.47,3909.76,150,44.59333333333333,277
กรุงเทพมหานคร,มีนบุรี,140752,66394,0,63.65,2211.34,1043.11,139,87.00719424460432,466
กรุงเทพมหานคร,ยานนาวา,72833,54412,0,16.66,4371.73,3266.03,154,57.29220779220779,1461
กรุงเทพมหานคร,ราชเทวี,62632,58075,0,7.13,8784.29,8145.16,11,195.3636363636364,904
กรุงเทพมหานคร,ราษฎร์บูรณะ,74977,39190,0,15.78,4751.39,2483.52,229,53.84279475982533,172
กรุงเทพมหานคร,ลาดกระบัง,181253,108362,0,123.86,1463.37,874.87,289,131.36332179930795,762
กรุงเทพมหานคร,ลาดพร้าว,112086,60732,0,21.86,5127.45,2778.23,54,25.35185185185185,957
กรุงเทพมหานคร,วังทองหลาง,103056,65168,0,19.57,5266.02,3329.99,66,70.96969696969697,872
กรุงเทพมหานคร,วัฒนา,80272,87305,0,12.57,6386.0,6945.51,32,62.25,1693
กรุงเทพมหานคร,สวนหลวง,123405,85646,0,23.68,5211.36,3616.81,117,46.02564102564103,837
กรุงเทพมหานคร,สะพานสูง,97659,43914,0,28.12,3472.94,1561.66,35,43.94285714285714,315
กรุงเทพมหานคร,สัมพันธวงศ์,18845,13160,0,1.42,13271.13,9267.61,6,30.666666666666668,174
กรุงเทพมหานคร,สาทร,70320,45256,0,9.33,7536.98,4850.59,54,57.388888888888886,809
กรุงเทพมหานคร,สายไหม,212575,112297,1,44.62,4764.12,2516.74,38,40.078947368421055,560
กรุงเทพมหานคร,หนองจอก,186227,74844,0,236.26,788.23,316.79,101,101.34653465346534,305
กรุงเทพมหานคร,หนองแขม,154956,66262,2,35.83,4324.76,1849.34,209,69.377990430622,262
กรุงเทพมหานคร,หลักสี่,98177,62353,0,22.84,4298.47,2729.99,48,125.39583333333331,367
กรุงเทพมหานคร,ห้วยขวาง,83958,95001,0,15.03,5586.03,6320.76,54,55.55555555555556,758
