province,district,total_population,housing,year,month,area_km2,population_density,housing_density
กรุงเทพมหานคร,คลองสาน,67458,40913,65,01,6.05,11150.08,6762.48
กรุงเทพมหานคร,คลองสาน,67458,40913,65,01,6.05,11150.08,6762.48
กรุงเทพมหานคร,คลองสาน,67458,40913,65,01,6.05,11150.08,6762.48
กรุงเทพมหานคร,คลองสาน,67458,40913,65,01,6.05,11150.08,6762.48
กรุงเทพมหานคร,คลองสาน,67458,40913,65,01,6.05,11150.08,6762.48
กรุงเทพมหานคร,คลองสาน,67458,40913,65,01,6.05,11150.08,6762.48
กรุงเทพมหานคร,คลองสาน,67458,40913,65,01,6.05,11150.08,6762.48
กรุงเทพมหานคร,คลองสาน,67458,40913,65,01,6.05,11150.08,6762.48
กรุงเทพมหานคร,คลองสาน,67367,40919,65,02,6.05,11135.04,6763.47
กรุงเทพมหานคร,คลองสาน,67367,40919,65,02,6.05,11135.04,6763.47
กรุงเทพมหานคร,คลองสาน,67367,40919,65,02,6.05,11135.04,6763.47
กรุงเทพมหานคร,คลองสาน,67367,40919,65,02,6.05,11135.04,6763.47
กรุงเทพมหานคร,คลองสาน,67367,40919,65,02,6.05,11135.04,6763.47
กรุงเทพมหานคร,คลองสาน,67367,40919,65,02,6.05,11135.04,6763.47
กรุงเทพมหานคร,คลองสาน,67367,40919,65,02,6.05,11135.04,6763.47
กรุงเทพมหานคร,คลองสาน,67367,40919,65,02,6.05,11135.04,6763.47
กรุงเทพมหานคร,คลองสาน,67232,41587,65,03,6.05,11112.73,6873.88
กรุงเทพมหานคร,คลองสาน,67232,41587,65,03,6.05,11112.73,6873.88
กรุงเทพมหานคร,คลองสาน,67232,41587,65,03,6.05,11112.73,6873.88
กรุงเทพมหานคร,คลองสาน,67232,41587,65,03,6.05,11112.73,6873.88
กรุงเทพมหานคร,คลองสาน,67232,41587,65,03,6.05,11112.73,6873.88
กรุงเทพมหานคร,คลองสาน,67232,41587,65,03,6.05,11112.73,6873.88
กรุงเทพมหานคร,คลองสาน,67232,41587,65,03,6.05,11112.73,6873.88
กรุงเทพมหานคร,คลองสาน,67232,41587,65,03,6.05,11112.73,6873.88
กรุงเทพมหานคร,คลองสาน,67123,41692,65,04,6.05,11094.71,6891.24
กรุงเทพมหานคร,คลองสาน,67123,41692,65,04,6.05,11094.71,6891.24
กรุงเทพมหานคร,คลองสาน,67123,41692,65,04,6.05,11094.71,6891.24
กรุงเทพมหานคร,คลองสาน,67123,41692,65,04,6.05,11094.71,6891.24
กรุงเทพมหานคร,คลองสาน,67123,41692,65,04,6.05,11094.71,6891.24
กรุงเทพมหานคร,คลองสาน,67123,41692,65,04,6.05,11094.71,6891.24
กรุงเทพมหานคร,คลองสาน,67123,41692,65,04,6.05,11094.71,6891.24
กรุงเทพมหานคร,คลองสาน,67123,41692,65,04,6.05,11094.71,6891.24
กรุงเทพมหานคร,คลองสาน,67005,41697,65,05,6.05,11075.21,6892.07
กรุงเทพมหานคร,คลองสาน,67005,41697,65,05,6.05,11075.21,6892.07
กรุงเทพมหานคร,คลองสาน,67005,41697,65,05,6.05,11075.21,6892.07
กรุงเทพมหานคร,คลองสาน,67005,41697,65,05,6.05,11075.21,6892.07
กรุงเทพมหานคร,คลองสาน,67005,41697,65,05,6.05,11075.21,6892.07
กรุงเทพมหานคร,คลองสาน,67005,41697,65,05,6.05,11075.21,6892.07
กรุงเทพมหานคร,คลองสาน,67005,41697,65,05,6.05,11075.21,6892.07
กรุงเทพมหานคร,คลองสาน,67005,41697,65,05,6.05,11075.21,6892.07
กรุงเทพมหานคร,คลองสาน,66885,41696,65,06,6.05,11055.37,6891.90
กรุงเทพมหานคร,คลองสาน,66885,41696,65,06,6.05,11055.37,6891.90
กรุงเทพมหานคร,คลองสาน,66885,41696,65,06,6.05,11055.37,6891.90
กรุงเทพมหานคร,คลองสาน,66885,41696,65,06,6.05,11055.37,6891.90
กรุงเทพมหานคร,คลองสาน,66885,41696,65,06,6.05,11055.37,6891.90
กรุงเทพมหานคร,คลองสาน,66885,41696,65,06,6.05,11055.37,6891.90
กรุงเทพมหานคร,คลองสาน,66885,41696,65,06,6.05,11055.37,6891.90
กรุงเทพมหานคร,คลองสาน,66885,41696,65,06,6.05,11055.37,6891.90
กรุงเทพมหานคร,คลองสาน,66795,41696,65,07,6.05,11040.50,6891.90
กรุงเทพมหานคร,คลองสาน,66795,41696,65,07,6.05,11040.50,6891.90
กรุงเทพมหานคร,คลองสาน,66795,41696,65,07,6.05,11040.50,6891.90
กรุงเทพมหานคร,คลองสาน,66795,41696,65,07,6.05,11040.50,6891.90
กรุงเทพมหานคร,คลองสาน,66795,41696,65,07,6.05,11040.50,6891.90
กรุงเทพมหานคร,คลองสาน,66795,41696,65,07,6.05,11040.50,6891.90
กรุงเทพมหานคร,คลองสาน,66795,41696,65,07,6.05,11040.50,6891.90
กรุงเทพมหานคร,คลองสาน,66795,41696,65,07,6.05,11040.50,6891.90
กรุงเทพมหานคร,คลองสาน,66710,41689,65,08,6.05,11026.45,6890.74
กรุงเทพมหานคร,คลองสาน,66710,41689,65,08,6.05,11026.45,6890.74
กรุงเทพมหานคร,คลองสาน,66710,41689,65,08,6.05,11026.45,6890.74
กรุงเทพมหานคร,คลองสาน,66710,41689,65,08,6.05,11026.45,6890.74
